offer_id	organization_id	discount	recommended_revenue	recommended_pid	recommended_pid_name	physical_channel	published_revenue	new_potential_revenue	shipments	wps	product_cluster	industry_code	contactrole	reason_for_lead	lead_source_type	primary_competitor
CL_O_114267287520	DHL CL	30.00037817191695	27.11241176470588	NULL	TDD_17%	NULL	32.66488235294118	15.54	50	0.5	TDDom	PROFLOGS	Influencer	Campaign	Liveball	Chile Express
CL_O_114514797276	DHL CL	41.99966680153271	60.16694117647059	NULL	TDE_42%	NULL	100.8408	36.0	2	40.0	TDExport	ENGMCSEQ	Influencer	Campaign	Liveball	NULL
CL_O_114515248540	DHL CL	40.00039799410969	38.46097058823529	NULL	TDE_38%	NULL	60.3024	144.6	3	10.33	TDExport	ENGMCSEQ	Influencer	Website	CSV	Freight Forwarder
CL_O_114265165168	DHL CL	59.99991414724606	712.0129411764706	NULL	TDI_75%	NULL	2795.484	51.0	20	70.0	TDImport	CSMRCSDU	Influencer	Website	CSV	NULL
CL_O_114515437126	DHL CL	69.21723834652595	18.885882352941177	NULL	TDE_31%	NULL	26.6058	7.8	5	2.0	TDExport	CSMRPERS	Influencer	Campaign	Liveball	Other
CL_O_114254813262	DHL CL	40.00499750124937	7.045676470588236	NULL	TDI_FTB1801	NULL	9.6048	5.28	1	2.0	TDImport	TECHCSEL	Influencer	Cash Customer	CSV	Other
CL_O_114516664013	DHL CL	50.00247106384241	8.123382352941176	NULL	TDD_09%	NULL	8.92685294117647	60.6	8	2.19	TDDom	AUTOCM12	Decision Maker	Referral	ISL	FedEx
CL_O_114516882841	DHL CL	50.000845494360554	43.80070588235294	NULL	TDI_40%	NULL	70.9644	27.0	2	15.0	TDImport	ENGMCSEQ	Influencer	Website	CSV	NULL
CL_O_114524961981	DHL CL	59.999882654587914	107.30188235294118	NULL	TDI_49%	NULL	204.5244	30.0	2	50.0	TDImport	CSMRCSDU	Influencer	Campaign	Liveball	NULL
CL_O_114526592314	DHL CL	35.00051271534045	15.589058823529411	NULL	TDI_35%	NULL	23.4048	23.4	1	18.0	TDImport	LSHEMEDD	Influencer	Cash Customer	CSV	Other
